"ID","File Name","Command","Link","Alt Text","Created At","Type","Mime Type","Width","Height","Duration","Status","Errors"
"gid://shopify/MediaImage/16003320676527","BO.Astraot1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Astraot1.jpg?v=1750439493","Organic Astragalus Root","2020-12-01 05:33:03 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003322970287","BO.Calenls1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Calenls1.jpg?v=1750439492","Organic Calendula Petals Botanicals","2020-12-01 05:33:05 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003324543151","BO.Chamors1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Chamors1.jpg?v=1750439490","Organic Chamomile Flowers Botanicals","2020-12-01 05:33:07 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003325886639","BO.Chicoot1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Chicoot1.jpg?v=1750439489","Organic Chicory Root Botanicals","2020-12-01 05:33:09 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003327885487","BO.Cornfls1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Cornfls1.jpg?v=1750439488","Organic Cornflower Petals Botanicals","2020-12-01 05:33:11 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003330146479","BO.Cut_20Rps1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Cut_20Rps1.jpg?v=1750439487","Organic Rosehips Botanicals","2020-12-01 05:33:13 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003330965679","BO.Dandeot1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Dandeot1.jpg?v=1750439486","Organic Dandelion Root Botanicals","2020-12-01 05:33:15 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003332702383","BO.Elderes1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Elderes1.jpg?v=1750439485","Organic Elderberries Botanicals","2020-12-01 05:33:17 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003333521583","BO.Greenos1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Greenos1.jpg?v=1750439484","Organic Green Rooibos Botanicals","2020-12-01 05:33:19 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003335061679","BO.Hibisus1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Hibisus1.jpg?v=1750439483","Organic Hibiscus Botanicals","2020-12-01 05:33:21 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003336765615","BO.Honeysh1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Honeysh1.jpg?v=1750439482","Organic Honeybush Botanicals","2020-12-01 05:33:23 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003336863919","BO.Jasmirs1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Jasmirs1.jpg?v=1750439481","Organic Jasmine Flowers Botanicals","2020-12-01 05:33:25 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003337650351","BO.Junipes1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Junipes1.jpg?v=1750439480","Organic Juniper Berries Botanicals","2020-12-01 05:33:27 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003339550895","BO.Lemonel1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Lemonel1.jpg?v=1750439479","Organic Lemon Peel Botanicals","2020-12-01 05:33:29 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16003340239023","BO.Lemonle1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BO.Lemonle1.jpg?v=1750439478","Organic Lemon Myrtle Botanicals","2020-12-01 05:33:31 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
