ID,Title,Command,Tags,Tags Command
6127715221679,Organic Astragalus Root,MERGE,Organic,MERGE
6127715418287,Organic Chicory Root Botanicals,MERGE,Organic,MERGE
6127715516591,Organic Cornflower Petals Botanicals,MERGE,Organic,MERGE
6127715549359,Organic Rosehips Botanicals,MERGE,Organic,MERGE
6127715614895,Organic Dandelion Root Botanicals,MERGE,Organic,MERGE
6127715844271,Organic Honeybush Botanicals,MERGE,Organic,MERGE
6127715942575,Organic Juniper Berries Botanicals,MERGE,Organic,MERGE
6127715975343,Organic Lemon Peel Botanicals,MERGE,Organic,MERGE
6127716008111,Organic Lemon Myrtle Botanicals,MERGE,Organic,MERGE
6127716073647,Organic Lemon Verbena Botanicals,MERGE,Organic,MERGE
6127716139183,Organic Nettle Leaves Botanicals,MERGE,Organic,MERGE
6127716204719,Organic Orange Peel Botanicals,MERGE,Organic,MERGE
6127716270255,Organic Peppermint Leaves Botanicals,MERGE,Organic,MERGE
6127716335791,Organic Spearmint Leaves Botanicals,MERGE,Organic,MERGE
6127716368559,Organic Tulsi Botanicals,MERGE,Organic,MERGE
6127716532399,Organic Yerba Mate Botanicals,MERGE,Organic,MERGE
6127716565167,Organic Assam Black Tea,MERGE,Organic,MERGE
6127716597935,Classic English Breakfast Black Tea,MERGE,Organic,MERGE
6127716630703,Chocolate Kisses Black Tea,MERGE,Organic,MERGE
6127716696239,Chocolate Mint Black Tea,MERGE,Organic,MERGE
6127716729007,Divine Earl Grey Black Tea,MERGE,Organic,MERGE
6127716794543,Chinese Keemun Black Tea,MERGE,Organic,MERGE
6127716827311,Chinese Mao Feng Green Tea,MERGE,Organic,MERGE
6127716860079,Kenyan Black Tea,MERGE,Organic,MERGE
6127716892847,Chinese Lapsang Souchong Black Tea,MERGE,Organic,MERGE
6127716925615,Masala Chai Black Tea,MERGE,Organic,MERGE
6127716991151,Mumbai Chai Black Tea,MERGE,Organic,MERGE
6127717056687,Pina Colada White Tea,MERGE,Organic,MERGE
6127717089455,Puerh Black Tea,MERGE,Organic,MERGE
6127717122223,Pumpkin Spice Black Tea,MERGE,Organic,MERGE
6127717154991,Red Roses Black Tea,MERGE,Organic,MERGE
6127717220527,Organic Elderberry Green Tea,MERGE,Organic,MERGE
6127717253295,Japanese Genmaicha Green Tea,MERGE,Organic,MERGE
