ID,Title,Command,Tags,Tags Command
6299795914927,Organic Beetroot Powder,MERGE,"Category_Powder, Type_Superfood Blend",MERGE
6299800273071,Organic Blue Spirulina Powder,MERGE,"Category_Powder, Type_Superfood Blend, Function_Detox",MERGE
6299803254959,Organic Green Spirulina Powder,MERGE,"Category_Powder, Type_Superfood Blend, Function_Detox",MERGE
6299806630063,Organic Ginger Powder,MERGE,"Category_Spices_Botanicals",MERGE
6299808071855,Organic Black Pepper Powder,MERGE,"Category_Spices_Botanicals",MERGE
6299809939631,Organic Cinnamon Powder,MERGE,"Category_Spices_Botanicals",MERGE
6299810824367,Organic Cardamom Powder,MERGE,"Category_Spices_Botanicals",MERGE
6299811905711,Organic Blueberry Powder,MERGE,"Category_Powder, Type_Fruit Powder",MERGE
6299813773487,Organic Strawberry Powder,MERGE,"Category_Powder, Type_Fruit Powder",MERGE
6299815116975,Conventional Coffee Cherry Powder,MERGE,"Category_Powder, Type_Superfood Blend",MERGE
6299817672879,Organic Coconut Milk Powder,MERGE,"Category_Powder, Type_Superfood Blend",MERGE
6299825242287,Organic Turmeric Powder,MERGE,"Category_Spices_Botanicals",MERGE
6299829305519,Organic Hemp Protein Powder,MERGE,"Category_Powder, Type_Superfood Blend",MERGE
6912968261807,Organic Coconut Sugar,MERGE,"Category_Powder, Type_Superfood Blend",MERGE
6912969310383,Organic Moringa Powder,MERGE,"Category_Powder, Type_Superfood Blend, Function_Detox",MERGE
6912969703599,Organic Pumpkin Powder,MERGE,"Category_Powder, Type_Fruit Powder",MERGE
6912971931823,Organic Tart Cherries Powder,MERGE,"Category_Powder, Type_Fruit Powder",MERGE
6912973242543,Organic Carob Powder,MERGE,"Category_Powder, Type_Superfood Blend",MERGE
6912974520495,Organic Cordyceps Powder,MERGE,"Category_Powder, Type_Mushroom Powder, Function_Focus and Energy",MERGE
6912976847023,Organic Molasses Powder,MERGE,"Category_Powder, Type_Superfood Blend",MERGE
6912977731759,Organic Rhodiola Root Powder,MERGE,"Category_Powder, Type_Superfood Blend, Function_Focus and Energy",MERGE
6912979304623,Organic Reishi Mushroom Powder,MERGE,"Category_Powder, Type_Mushroom Powder, Function_Immunity",MERGE
6912980091055,Organic Lion's Mane Powder,MERGE,"Category_Powder, Type_Mushroom Powder, Function_Focus and Energy",MERGE
6912980877487,Organic Maca Powder,MERGE,"Category_Powder, Type_Superfood Blend, Function_Focus and Energy",MERGE
6912981860527,Organic Date Powder,MERGE,"Category_Powder, Type_Fruit Powder",MERGE
6912982188207,Organic Cocoa Powder,MERGE,"Category_Powder, Type_Superfood Blend",MERGE
6912982319279,Organic Lucuma Powder,MERGE,"Category_Powder, Type_Fruit Powder",MERGE
6912982941871,Organic Rosehips Powder,MERGE,"Category_Powder, Type_Fruit Powder",MERGE
6912983728303,Organic Rose Petals Powder,MERGE,"Category_Powder, Type_Fruit Powder",MERGE
6912984121519,Organic Theanine Powder,MERGE,"Category_Powder, Type_Superfood Blend, Function_Wind down",MERGE
6912985006255,Organic Maple Sugar,MERGE,"Category_Powder, Type_Superfood Blend",MERGE
6912985465007,Organic Chaga Powder,MERGE,"Category_Powder, Type_Mushroom Powder, Function_Immunity",MERGE
7131641086127,Organic Ashwagandha Root Powder,MERGE,"Category_Powder, Type_Superfood Blend, Function_Wind down",MERGE
7131642953903,Organic Mesquite Powder,MERGE,"Category_Powder, Type_Superfood Blend",MERGE
7131741225135,Organic Taro Powder,MERGE,"Category_Powder, Type_Fruit Powder",MERGE
7598511816879,Pumpkin Spice Latte Powder,MERGE,"Category_Powder, Type_Superfood Blend",MERGE
8616073494703,Coffee Cherry Powder,MERGE,"Category_Powder, Type_Superfood Blend",MERGE
8616074084527,Organic Rhodiola Root Powder,MERGE,"Category_Powder, Type_Superfood Blend, Function_Focus and Energy",MERGE
