Handle,Command,Title,Body HTML,Vendor,Type,Tags,Tags Command,Status,Published,Published Scope,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Variant Fulfillment Service,SEO Title,SEO Description,Smart Collections,Metafield: divine.product_notes [single_line_text_field]
assam-tea,MERGE,Assam Tea,,Divine Ingredients,Tea,Founders_Favourite,MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Assam Tea,,Founders' Favourites,
chinese-jasmine-green-tea,MERGE,Chinese Jasmine Green Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Green Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Chinese Jasmine Green Tea,,Green Tea; All Teas,
chocolate-mint-black-tea,MERGE,Chocolate Mint Black Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Black Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Chocolate Mint Black Tea,,Black Tea; All Teas,
classic-chai,MERGE,Classic Chai,,Divine Ingredients,Tea,"Category_Tea, Type_Chai",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Classic Chai,,Chai; All Teas,
classic-english-breakfast-black-tea,MERGE,Classic English Breakfast Black Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Black Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Classic English Breakfast Black Tea,,Black Tea; All Teas,
organic-coffee-cherry-powder,MERGE,Conventional Coffee Cherry Powder,,Divine Ingredients,Powder,"Category_Powder, Format_Powder",MERGE,active,TRUE,global,,23.44,shopify,deny,TRUE,TRUE,g,manual,Conventional Coffee Cherry Powder,,All Powders,Note: labeled 'Conventional' not 'Organic' — confirm intent
conventional-jasmine-flowers-botanicals,MERGE,Conventional Jasmine Flowers Botanicals,,Divine Ingredients,Botanical,"Category_Spices_Botanicals, Format_Botanical",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Conventional Jasmine Flowers Botanicals,,Spices & Botanicals,
conventional-rose-petals-botanicals,MERGE,Conventional Rose Petals Botanicals,,Divine Ingredients,Botanical,"Category_Spices_Botanicals, Format_Botanical",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Conventional Rose Petals Botanicals,,Spices & Botanicals,
culinary-matcha-green-tea,MERGE,Culinary Matcha Green Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Matcha",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Culinary Matcha Green Tea,,Matcha; All Teas,
divine-earl-grey-black-tea,MERGE,Divine Earl Grey Black Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Black Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Divine Earl Grey Black Tea,,Black Tea; All Teas,
divine-ruby-red-iced-tea,MERGE,Divine Ruby Red Iced Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Iced Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Divine Ruby Red Iced Tea,,Iced Tea; All Teas,
divine-tangy-lemon-iced-tea,MERGE,Divine Tangy Lemon Iced Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Iced Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Divine Tangy Lemon Iced Tea,,Iced Tea; All Teas,
energize-hemp-tea,MERGE,Energize Hemp Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Focus and Energy, Type_Hemp Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Energize Hemp Tea,,Focus and Energy; Hemp Tea; All Teas,
ginger-turmeric-lemongrass-wellness-tea,MERGE,Ginger Turmeric Lemongrass Wellness Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Gut Reset, Function_Immunity",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Ginger Turmeric Lemongrass Wellness Tea,,Gut Reset; Immunity; All Teas,
golden-pineapple-oolong-tea,MERGE,Golden Pineapple Oolong Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Oolong Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Golden Pineapple Oolong Tea,,Oolong Tea; All Teas,
heart-hemp-tea,MERGE,Heart Hemp Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Hemp Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Heart Hemp Tea,,Hemp Tea; All Teas,
herbal-chai,MERGE,Herbal Chai,,Divine Ingredients,Tea,"Category_Tea, Type_Chai",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Herbal Chai,,Chai; All Teas,
hibiscus-punch-herbal-tea,MERGE,Hibiscus Punch Herbal Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Detox, Function_Immunity, Type_Herbal Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Hibiscus Punch Herbal Tea,,Detox; Immunity; Herbal Tea; All Teas,
japanese-genmaicha-green-tea,MERGE,Japanese Genmaicha Green Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Focus and Energy, Type_Green Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Japanese Genmaicha Green Tea,,Focus and Energy; Green Tea; All Teas,
japanese-sencha-green-tea,MERGE,Japanese Sencha Green Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Focus and Energy, Type_Green Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Japanese Sencha Green Tea,,Focus and Energy; Green Tea; All Teas,
japnese-hojicha-green-tea,MERGE,Japnese Hojicha Green Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Green Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Japnese Hojicha Green Tea,,Green Tea; All Teas,
kashmiri-green-chai,MERGE,Kashmiri Green Chai,,Divine Ingredients,Tea,"Category_Tea, Type_Chai",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Kashmiri Green Chai,,Chai; All Teas,
lemon-ginger-circus-wellness-tea,MERGE,Lemon Ginger Circus Wellness Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Detox, Function_Gut Reset",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Lemon Ginger Circus Wellness Tea,,Detox; Gut Reset; All Teas,
lemon-green-oolong-tea,MERGE,Lemon Green Oolong Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Oolong Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Lemon Green Oolong Tea,,Oolong Tea; All Teas,
mango-turmeric-tulsi-wellness-tea,MERGE,Mango Turmeric Tulsi Wellness Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Immunity, Function_Wind down",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Mango Turmeric Tulsi Wellness Tea,,Immunity; Wind down; All Teas,
masala-chai-black-tea,MERGE,Masala Chai Black Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Chai",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Masala Chai Black Tea,,Chai; All Teas,
mellow-mint-herbal-tea,MERGE,Mellow Mint Herbal Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Detox, Function_Gut Reset, Function_Wind down, Type_Herbal Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Mellow Mint Herbal Tea,,Detox; Gut Reset; Wind down; Herbal Tea; All Teas,
moroccan-mint-iced-tea,MERGE,Moroccan Mint Iced Tea,,Divine Ingredients,Tea,"Category_Tea, Type_Iced Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Moroccan Mint Iced Tea,,Iced Tea; All Teas,
mumbai-chai,MERGE,Mumbai Chai,,Divine Ingredients,Tea,"Category_Tea, Type_Chai",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Mumbai Chai,,Chai; All Teas,
organic-ashwagandha-powder,MERGE,Organic Ashwagandha Root Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,17.18,shopify,deny,TRUE,TRUE,g,manual,Organic Ashwagandha Root Powder,,All Powders; All Organic,
organic-assam-black-tea,MERGE,Organic Assam Black Tea,,Divine Ingredients,Tea,"Category_Tea, Organic, Type_Black Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Assam Black Tea,,Black Tea; All Teas; All Organic,
organic-beetroot-powder,MERGE,Organic Beetroot Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Beetroot Powder,,All Powders; All Organic,
organic-blue-spirulina-powder,MERGE,Organic Blue Spirulina Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Blue Spirulina Powder,,All Powders; All Organic,
organic-blueberry-powder,MERGE,Organic Blueberry Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,29.30,shopify,deny,TRUE,TRUE,g,manual,Organic Blueberry Powder,,All Powders; All Organic,
organic-calendula-petals-botanicals,MERGE,Organic Calendula Petals Botanicals,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Botanical, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Calendula Petals Botanicals,,Spices & Botanicals; All Organic,
organic-ceremonial-matcha-green-tea,MERGE,Organic Ceremonial Matcha Green Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Focus and Energy, Organic, Type_Matcha",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Ceremonial Matcha Green Tea,,Focus and Energy; Matcha; All Teas; All Organic,
organic-chamomile-care-herbal-tea,MERGE,Organic Chamomile Care Herbal Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Gut Reset, Function_Wind down",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Chamomile Care Herbal Tea,,Gut Reset; Wind down; All Teas,
organic-chamomile-flowers-botanicals,MERGE,Organic Chamomile Flowers Botanicals,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Botanical, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Chamomile Flowers Botanicals,,Spices & Botanicals; All Organic,
organic-chamomile-herbal-tea,MERGE,Organic Chamomile Herbal Tea,,Divine Ingredients,Tea,"Category_Tea, Organic, Type_Herbal Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Chamomile Herbal Tea,,Herbal Tea; All Teas; All Organic,
organic-coconut-milk-powder,MERGE,Organic Coconut Milk Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,14.95,shopify,deny,TRUE,TRUE,g,manual,Organic Coconut Milk Powder,,All Powders; All Organic,
organic-cordyceps-powder,MERGE,Organic Cordyceps Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,17.18,shopify,deny,TRUE,TRUE,g,manual,Organic Cordyceps Powder,,All Powders; All Organic,
organic-date-powder,MERGE,Organic Date Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,12.50,shopify,deny,TRUE,TRUE,g,manual,Organic Date Powder,,All Powders; All Organic,
organic-elderberries-botanicals,MERGE,Organic Elderberries Botanicals,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Botanical, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Elderberries Botanicals,,Spices & Botanicals; All Organic,
organic-ginger-powder,MERGE,Organic Ginger Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Ginger Powder,,All Powders; All Organic,
organic-green-rooibos-botanicals,MERGE,Organic Green Rooibos Botanicals,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Botanical, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Green Rooibos Botanicals,,Spices & Botanicals; All Organic,
organic-green-spirulina-powder,MERGE,Organic Green Spirulina Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Green Spirulina Powder,,All Powders; All Organic,
organic-hemp-berry-infusion,MERGE,Organic Hemp Berry Infusion,,Divine Ingredients,Tea,"Category_Tea, Function_Immunity, Type_Hemp Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Hemp Berry Infusion,,Immunity; Hemp Tea; All Teas,
organic-hibiscus-botanicals,MERGE,Organic Hibiscus Botanicals,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Botanical, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Hibiscus Botanicals,,Spices & Botanicals; All Organic,
organic-immunity-herbal-tea,MERGE,Organic Immunity Herbal Tea,,Divine Ingredients,Tea,"Category_Tea, Function_Immunity, Organic, Type_Herbal Tea",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Immunity Herbal Tea,,Immunity; Herbal Tea; All Teas; All Organic,
organic-lemongrass-botanicals,MERGE,Organic Lemongrass Botanicals,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Botanical, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Lemongrass Botanicals,,Spices & Botanicals; All Organic,
organic-licorice-spice,MERGE,Organic Licorice Spice,,Divine Ingredients,Tea,"Category_Spices_Botanicals, Format_Spice, Organic",MERGE,active,TRUE,global,,,shopify,deny,TRUE,TRUE,g,manual,Organic Licorice Spice,,Spices & Botanicals; All Organic,
organic-lions-mane-powder,MERGE,Organic Lion's Mane Powder,,Divine Ingredients,Tea,"Category_Powder, Format_Powder, Organic",MERGE,active,TRUE,global,,20.18,shopify,deny,TRUE,TRUE,g,manual,Organic Lion's Mane Powder,,All Powders; All Organic,
