Source,Group,Spreadsheet name,Action needed
Type,Green Tea,Japnese Hojicha Green Tea,Verify product exists in Shopify / check handle spelling
Type,Black Tea,Pumpkin Chai Black Tea,Verify product exists in Shopify / check handle spelling
Type,Chai,Tulsi Chai,Verify product exists in Shopify / check handle spelling
Type,Chai,Herbal Chai,Verify product exists in Shopify / check handle spelling
Type,Chai,Kashmiri Green Chai,Verify product exists in Shopify / check handle spelling
Type,Matcha,Sweetened Matcha Green Tea,Verify product exists in Shopify / check handle spelling
Type,Matcha,Ube Matcha Tea,Verify product exists in Shopify / check handle spelling
Type,Iced Tea,Unflavoured Black Iced Tea,Verify product exists in Shopify / check handle spelling
Type,Iced Tea,Crimsonberry Tea,Verify product exists in Shopify / check handle spelling
Function,Wind down,Organic Chamomile Care Herbal Tea,Verify product exists in Shopify / check handle spelling
Function,Gut Reset,Organic Chamomile Care Herbal Tea,Verify product exists in Shopify / check handle spelling
